metric,kubenodeperf,_netrxrate,int8,NULL,
metric,kubenodeperf,_nettxrate,int8,NULL,
metric,kubenodeperf,_netrxerrors,int8,NULL,
metric,kubenodeperf,_nettxerrors,int8,NULL,
metric,kubenodeperf,_fsusage,int8,NULL,
metric,kubenodeperf,_fstotalsize,int8,NULL,
metric,kubenodeperf,_fsfreesize,int8,NULL,
metric,kubenodeperf,_fsiusage,int8,NULL,
metric,kubenodeperf,_fsitotalsize,int8,NULL,
metric,kubenodeperf,_fsifreesize,int8,NULL,
metric,kubenodeperf,_imgfsusage,int8,NULL,
metric,kubenodeperf,_maxpid,int8,NULL,
metric,kubenodeperf,_proccount,int8,NULL,
metric,kubenodesysco,_nodeid,int8,NOT NULL,
metric,kubenodesysco,_syscontainerid,int8,NOT NULL,
metric,kubenodesysco,_ontunetime,int8,NOT NULL,
metric,kubenodesysco,_agenttime,int8,NOT NULL,
metric,kubenodesysco,_cpuusage,int8,NULL,
metric,kubenodesysco,_memoryused,int8,NULL,
metric,kubenodesysco,_swapused,int8,NULL,
metric,kubenodesysco,_memorysize,int8,NULL,
metric,kubenodesysco,_swapsize,int8,NULL,
metric,kubepodperf,_podid,int8,NOT NULL,
metric,kubepodperf,_ontunetime,int8,NOT NULL,
metric,kubepodperf,_agenttime,int8,NOT NULL,
metric,kubepodperf,_cpuusage,int8,NULL,
metric,kubepodperf,_memoryused,int8,NULL,
metric,kubepodperf,_swapused,int8,NULL,
metric,kubepodperf,_memorysize,int8,NULL,
metric,kubepodperf,_swapsize,int8,NULL,
metric,kubepodperf,_netusage,int8,NULL,
metric,kubepodperf,_netrxrate,int8,NULL,
metric,kubepodperf,_nettxrate,int8,NULL,
metric,kubepodperf,_netrxerrors,int8,NULL,
metric,kubepodperf,_nettxerrors,int8,NULL,
metric,kubepodperf,_volused,int8,NULL,
metric,kubepodperf,_voliused,int8,NULL,
metric,kubepodperf,_epstused,int8,NULL,
metric,kubepodperf,_epstiused,int8,NULL,
metric,kubepodperf,_proccount,int8,NULL,
metric,kubecontainerperf,_containerid,int8,NOT NULL,
metric,kubecontainerperf,_ontunetime,int8,NOT NULL,
metric,kubecontainerperf,_agenttime,int8,NOT NULL,
metric,kubecontainerperf,_cpuusage,int8,NULL,
metric,kubecontainerperf,_memoryused,int8,NULL,
metric,kubecontainerperf,_swapused,int8,NULL,
metric,kubecontainerperf,_memorysize,int8,NULL,
metric,kubecontainerperf,_swapsize,int8,NULL,
metric,kubecontainerperf,_rootfsused,int8,NULL,
metric,kubecontainerperf,_rootfsiused,int8,NULL,
metric,kubecontainerperf,_logfsused,int8,NULL,
metric,kubecontainerperf,_logfsiused,int8,NULL,
metric,kubepodnet,_podid,int8,NOT NULL,
metric,kubepodnet,_deviceid,int8,NOT NULL,
metric,kubepodnet,_ontunetime,int8,NOT NULL,
metric,kubepodnet,_agenttime,int8,NOT NULL,
metric,kubepodnet,_netusage,int8,NULL,
metric,kubepodnet,_netrxrate,int8,NULL,
metric,kubepodnet,_nettxrate,int8,NULL,
metric,kubepodnet,_netrxerrors,int8,NULL,
metric,kubepodnet,_nettxerrors,int8,NULL,
metric,kubepodvol,_podid,int8,NOT NULL,
metric,kubepodvol,_deviceid,int8,NOT NULL,
metric,kubepodvol,_ontunetime,int8,NOT NULL,
metric,kubepodvol,_agenttime,int8,NOT NULL,
metric,kubepodvol,_volused,int8,NULL,
metric,kubepodvol,_voliused,int8,NULL,
index,kubenodeperf,_nodeid,_ontunetime,_agenttime,
index,kubenodesysco,_nodeid,_ontunetime,_agenttime,_syscontainerid
index,kubepodperf,_podid,_ontunetime,_agenttime,
index,kubecontainerperf,_containerid,_ontunetime,_agenttime,
index,kubepodnet,_podid,_ontunetime,_agenttime,_deviceid
index,kubepodvol,_podid,_ontunetime,_agenttime,_deviceid
